TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score	pval	isSig	Component
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	4	12	1879	3121	5	0.00256	4088	0.00627	-6.916	0.099	2.32287198223466e-12	1	337
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	4	12	2740	2260	21	0.00587	13211	0.011	-7.282	0.004	1.64453538164388e-13	1	337
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.74	0.657	2	14	2194	2806	10	0.00373	7431	0.00828	-7.399	0.001	6.86069261413879e-14	1	337
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	3	13	1985	3015	10	0.00653	6512	0.0127	-8.111	0.02	2.51024277746353e-16	1	337
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	4	12	2690	2310	17	0.00634	11429	0.0127	-8.391	0.005	2.41012167827574e-17	1	337
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	3	13	3070	1930	31	0.013	18139	0.0227	-9.595	0	4.19585506095594e-22	1	337
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.65	0.609	3	13	2148	2852	8	0.00522	6392	0.0125	-9.599	0.01	4.03618906501655e-22	1	337
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	2	14	2015	2985	5	0.0028	5481	0.00916	-9.824	0.003	4.43752296890219e-23	1	337
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	7	9	3515	1485	58	0.0162	33598	0.0281	-10.543	0.007	2.73623992571057e-26	1	337
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	5	11	2226	2774	13	0.00727	9845	0.0165	-10.607	0.096	1.38242106006192e-26	1	337
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	6	10	3509	1491	71	0.0199	40578	0.0339	-11.403	0.002	2.01977313096224e-30	1	337
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	5	11	3401	1599	66	0.0185	39558	0.0331	-11.99	0.001	2.00452583737242e-33	1	337
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	4	12	2708	2292	20	0.00932	15276	0.0213	-12.165	0.004	2.38722674454059e-34	1	337
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	5	11	2737	2263	22	0.0103	17560	0.0245	-13.498	0.016	8.0339523136906e-42	1	337
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	4	12	2473	2527	16	0.00746	15671	0.0218	-14.434	0.012	1.58099238527199e-47	1	337
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	42	16	3445	1555	835	0.05	40591	0.0384	20.713	1.084	1.32231218436812e-95	1	338
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	35	23	3016	1984	450	0.0347	20997	0.0255	19.794	0.588	1.67670653473409e-87	1	338
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	37	21	3270	1730	714	0.0367	33902	0.0275	19.207	0.419	1.61712070995732e-82	1	338
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	42	16	3606	1394	835	0.0572	42298	0.0457	18.757	0.603	8.48559393829285e-79	1	338
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	32	26	2335	2665	203	0.0208	8905	0.0144	18.372	2.084	1.10073992025828e-75	1	338
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	34	24	2304	2696	219	0.0225	10052	0.0163	16.726	3.262	4.23709045224713e-63	1	338
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	32	26	2152	2848	157	0.0202	7202	0.0146	15.847	3.142	7.37269935259907e-57	1	338
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	27	31	1441	3559	84	0.00719	3159	0.00427	15.302	5.705	3.7071366186357e-53	1	338
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	39	19	2634	2366	247	0.019	11588	0.0141	14.312	4.013	9.20702400723645e-47	1	338
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	32	26	2714	2286	265	0.0249	12981	0.0193	14.059	0.693	3.39190100544001e-45	1	338
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	22	36	1167	3833	64	0.00712	2540	0.00446	13.626	4.663	1.40270475992288e-42	1	338
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	39	19	3163	1837	572	0.0294	28873	0.0234	13.497	1.152	8.14372259131078e-42	1	338
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	32	26	2567	2433	294	0.0176	13970	0.0132	13.175	1.116	6.11137193829788e-40	1	338
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	33	25	2424	2576	209	0.0215	10208	0.0165	13.17	2.067	6.5298835644938e-40	1	338
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	12	46	587	4413	23	0.00295	780	0.00158	11.773	3.317	2.68887279817563e-32	1	338
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	2	56	20	4980	2	0.000291	21	4.82e-05	11.74	3.658	3.97432256514086e-32	1	338
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	34	24	2629	2371	262	0.0179	13033	0.0141	11.172	1.528	2.7953827586225e-29	1	338
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	38	20	3036	1964	495	0.0212	25140	0.017	11.111	1.296	5.54552182430434e-29	1	338
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.64	0.435	39	19	3219	1781	386	0.0231	19835	0.0188	11.003	0.964	1.84813246302608e-28	1	338
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	27	31	1647	3353	99	0.00932	4539	0.00674	10.742	3.813	3.23144581803344e-27	1	338
Gata1	MA0035.2	Zinc-coordinating	GATA	vertebrates	10.878	0.373	32	26	2921	2079	295	0.0278	15526	0.0231	10.701	0.304	5.03428465717472e-27	1	338
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	19	39	842	4158	34	0.00407	1331	0.00252	10.592	6.008	1.62290844428606e-26	1	338
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	36	22	2731	2269	282	0.0193	14386	0.0155	10.386	1.842	1.43572101471244e-25	1	338
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.31	17	41	836	4164	35	0.00359	1342	0.00218	10.383	4.374	1.4815731156288e-25	1	338
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	43	15	3366	1634	449	0.0346	24385	0.0296	9.95	1.78	1.26091606702069e-23	1	338
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	31	27	2747	2253	302	0.0207	15873	0.0172	9.27	0.444	9.30729620224586e-21	1	338
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.06	0.466	45	13	3580	1420	659	0.0395	36621	0.0346	9.069	1.626	6.0057145025016e-20	1	338
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	16	42	693	4307	25	0.00321	1010	0.00205	8.765	5.331	9.3388330273702e-19	1	338
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	28	30	1175	3825	42	0.00575	1909	0.00413	8.647	10.184	2.64354852267476e-18	1	338
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.53	7	51	275	4725	9	0.00154	310	0.000837	8.258	3.198	7.40667770733731e-17	1	338
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	5	53	260	4740	8	0.00137	276	0.000746	7.758	1.683	4.31395758697732e-15	1	338
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	1	57	12	4988	1	0.000171	13	3.51e-05	7.601	1.97	1.46925555401055e-14	1	338
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	43	15	3140	1860	307	0.021	16738	0.0181	7.512	3.04	2.91153944973653e-14	1	338
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	39	19	3144	1856	337	0.026	18786	0.0228	7.131	1.22	4.98211597600903e-13	1	338
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	34	24	2671	2329	275	0.0165	14841	0.014	7.087	1.361	6.85251914822459e-13	1	338
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	35	23	2796	2204	246	0.0211	13632	0.0184	6.704	1.219	1.01395130812875e-11	1	338
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	39	19	3084	1916	367	0.022	20407	0.0193	6.679	1.452	1.20289081573771e-11	1	338
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	21	37	1410	3590	68	0.0064	3386	0.00503	6.603	2.149	2.01459771024571e-11	1	338
Tal1::Gata1	MA0140.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.297	0.451	19	39	1277	3723	45	0.00693	2287	0.00556	6.287	1.993	1.6182968834377e-10	1	338
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	36	22	2838	2162	241	0.0186	13481	0.0164	5.845	1.386	2.53284133208771e-09	1	338
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	22	36	1320	3680	54	0.00323	2542	0.0024	5.776	3.294	3.82486865994246e-09	1	338
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	40	18	3345	1655	409	0.0245	23341	0.0221	5.653	0.844	7.88356533433301e-09	1	338
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	30	28	2299	2701	155	0.0119	8496	0.0103	5.432	1.473	2.78629613646212e-08	1	338
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	13	45	840	4160	29	0.00298	1379	0.00223	5.348	1.786	4.44657327615956e-08	1	338
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	23	35	1363	3637	49	0.00461	2552	0.00379	4.544	3.568	2.75983287770669e-06	1	338
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	10	48	545	4455	14	0.00216	674	0.00164	4.342	2.328	7.05957666301683e-06	1	338
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	3	55	108	4892	3	0.000565	112	0.000333	4.268	2.011	9.8616663937803e-06	1	338
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	3	55	96	4904	3	0.000385	102	0.000207	4.142	2.264	1.72145171686345e-05	1	338
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	17	41	1082	3918	33	0.00339	1737	0.00282	3.674	2.223	0.000119391365683913	1	338
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	11	47	711	4289	19	0.00228	994	0.00188	3.098	1.625	0.000974157143156648	0	338
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	8	50	361	4639	9	0.000847	428	0.000636	2.808	2.852	0.00249251134040492	0	338
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.19	0.424	22	36	1772	3228	67	0.00573	3811	0.00515	2.782	0.931	0.00270125200485081	0	338
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	7	51	431	4569	10	0.00154	518	0.00126	2.668	1.455	0.00381521290476912	0	338
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	39	19	2753	2247	190	0.0163	11345	0.0153	2.596	3.188	0.00471580326236852	0	338
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	4	54	204	4796	5	0.000513	226	0.000366	2.553	1.539	0.00533997481184222	0	338
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	18	40	1140	3860	33	0.00311	1834	0.00272	2.475	2.353	0.0066618087919827	0	338
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	4	54	181	4819	4	0.000616	192	0.000467	2.297	1.825	0.0108093848670982	0	338
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	16	42	1211	3789	33	0.00254	1854	0.00225	2.046	1.132	0.0203781853371423	0	338
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	36	22	2766	2234	201	0.0189	12215	0.0181	1.971	1.684	0.0243619379080252	0	338
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.61	8	50	410	4590	9	0.00077	490	0.000662	1.384	2.28	0.0831792273694443	0	338
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	20	38	1272	3728	36	0.00462	2185	0.00443	0.98	2.514	0.163543059327692	0	338
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	29	29	1869	3131	70	0.00659	4284	0.00636	0.948	3.366	0.171564727100262	0	338
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.51	44	14	3488	1512	540	0.0277	33654	0.0273	0.947	1.632	0.171819389467178	0	338
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	1	57	51	4949	1	0.000154	51	0.000124	0.791	0.792	0.214471995743872	0	338
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	5	53	266	4734	5	0.000599	294	0.000556	0.564	1.621	0.286377066071163	0	338
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	26	32	1722	3278	63	0.00539	3942	0.00532	0.296	2.707	0.383615040698099	0	338
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	35	23	2751	2249	190	0.013	12024	0.013	0.036	1.387	0.485641179477751	0	338
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	18	40	1200	3800	35	0.00449	2220	0.0045	-0.046	1.978	0.481655124955502	0	338
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	5	53	303	4697	6	0.00103	383	0.00103	-0.127	1.283	0.449470199274858	0	338
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	32	26	1998	3002	75	0.00642	4815	0.0065	-0.379	4.261	0.35234393192149	0	338
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	12	46	720	4280	15	0.0018	975	0.00184	-0.404	2.088	0.343106359588143	0	338
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	30	28	1897	3103	64	0.00438	4128	0.00446	-0.425	3.761	0.33541833737017	0	338
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.07	0.453	19	39	1491	3509	46	0.00472	2986	0.00484	-0.59	1.022	0.277595324753465	0	338
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	13	45	1173	3827	31	0.00318	2023	0.00328	-0.595	0.47	0.275921735492323	0	338
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	20	38	1226	3774	36	0.0037	2349	0.00381	-0.635	2.835	0.262714207499101	0	338
Esrrb	MA0141.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.806	0.524	30	28	2099	2901	81	0.00832	5301	0.00859	-1.028	2.437	0.151974913845237	0	338
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	22	36	1182	3818	31	0.00398	2061	0.00418	-1.062	4.512	0.144117842596827	0	338
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	6	52	633	4367	13	0.00156	891	0.00168	-1.096	0.276	0.136539387237079	0	338
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	15	43	1188	3812	32	0.00329	2147	0.00348	-1.148	0.907	0.125484281916296	0	338
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	1	57	80	4920	1	0.000171	83	0.000224	-1.309	0.494	0.0952671753674449	0	338
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	34	24	2720	2280	173	0.0148	11308	0.0153	-1.316	1.182	0.0940870213346005	0	338
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	0	58	1	4999	0	0	1	2.7e-06	-1.452	0	0.0732508026203166	0	338
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	20	38	1465	3535	42	0.00359	2856	0.00386	-1.474	1.453	0.070240795583145	0	338
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	19	39	1299	3701	33	0.00367	2320	0.00407	-2.181	1.87	0.0145917082411404	0	338
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	20	38	1336	3664	37	0.00348	2642	0.00393	-2.44	2.114	0.00734363095534835	0	338
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	5	53	404	4596	6	0.000719	523	0.000989	-2.984	0.674	0.00142253385881058	0	338
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	18	40	1480	3520	37	0.0019	2909	0.00236	-3.255	0.787	0.00056696182925318	0	338
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	19	39	1685	3315	50	0.00342	3739	0.00404	-3.347	0.496	0.000408456051884136	1	338
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	29	29	2136	2864	88	0.00753	6236	0.00842	-3.351	1.812	0.000402601511949813	1	338
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	0	58	26	4974	0	0	27	0.000109	-3.715	0	0.00010160184722296	1	338
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	2	56	229	4771	2	0.00024	255	0.000482	-3.843	0.287	6.07697343826075e-05	1	338
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	36	22	2795	2205	196	0.0101	13932	0.0113	-3.981	1.56	3.43129746420696e-05	1	338
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	7	51	678	4322	9	0.000847	862	0.00128	-4.184	0.375	1.43212054662388e-05	1	338
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	0	58	47	4953	0	0	51	0.000145	-4.233	0	1.15297252537023e-05	1	338
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	23	35	1640	3360	40	0.00342	3189	0.00431	-4.637	1.789	1.7675120597614e-06	1	338
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	2	56	248	4752	2	0.000291	283	0.00065	-4.871	0.236	5.55174199947074e-07	1	338
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.29	0.643	27	31	1939	3061	57	0.00341	4602	0.00435	-4.885	1.951	5.17144269090901e-07	1	338
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	16	42	1179	3821	24	0.00246	2029	0.00329	-4.944	1.266	3.8267851569352e-07	1	338
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	8	50	653	4347	8	0.0013	801	0.00206	-5.728	0.707	5.08107833019891e-09	1	338
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	22	36	1598	3402	44	0.00452	3601	0.00584	-5.933	1.597	1.48724425276251e-09	1	338
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	36	22	2828	2172	164	0.0112	12239	0.0132	-5.986	1.425	1.07532183418185e-09	1	338
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	43	15	3514	1486	495	0.0254	35072	0.0284	-6.189	1.153	3.02735416684871e-10	1	338
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	9	49	799	4201	12	0.00113	1295	0.00192	-6.23	0.521	2.33217587386751e-10	1	338
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	37	21	2752	2248	222	0.019	16083	0.0217	-6.397	2.167	7.92296636592191e-11	1	338
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	24	34	1737	3263	44	0.00377	3838	0.00518	-6.771	1.72	6.39476372700532e-12	1	338
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	25	33	2085	2915	68	0.00698	5482	0.00888	-6.943	0.766	1.91929710724111e-12	1	338
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.65	0.609	30	28	2133	2867	84	0.0101	6537	0.0124	-7.118	2.25	5.4752185747425e-13	1	338
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	30	28	2331	2669	100	0.00856	7967	0.0108	-7.312	1.347	1.31597555758236e-13	1	338
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	37	21	2817	2183	248	0.0212	18416	0.0249	-8.02	1.849	5.28725827143121e-16	1	338
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.74	0.657	29	29	2271	2729	92	0.0063	7890	0.00852	-8.294	1.253	5.47512267574559e-17	1	338
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	43	15	3622	1378	591	0.0303	43090	0.0349	-8.523	0.792	7.77363931699462e-18	1	338
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	1	57	381	4619	1	0.00012	467	0.000883	-8.833	0.01	5.09525115480504e-19	1	338
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	43	15	3423	1577	556	0.0285	41585	0.0337	-9.764	1.52	8.03446975746787e-23	1	338
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	38	20	2544	2456	211	0.0181	16617	0.0224	-10.132	4.021	1.99207813751564e-24	1	338
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	21	37	1746	3254	36	0.00308	3933	0.00531	-10.512	0.759	3.80315493830047e-26	1	338
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	29	29	2019	2981	75	0.00899	6773	0.0128	-11.63	2.414	1.45048786909516e-31	1	338
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	54	16	2499	2501	450	0.027	15487	0.022	14.023	12.608	5.6372991697238e-45	1	343
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	40	30	1833	3167	134	0.00886	3993	0.00624	13.554	7.759	3.75138269427845e-42	1	343
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	57	13	3432	1568	1067	0.0385	38843	0.0331	12.236	4.381	9.98154777070203e-35	1	343
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	53	17	3110	1890	501	0.0271	17798	0.0228	11.877	4.394	7.7930608674381e-33	1	343
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	51	19	2744	2256	420	0.0252	15081	0.0214	10.751	6.413	2.931128755084e-27	1	343
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	54	16	2773	2227	477	0.0287	17368	0.0247	10.5	8.801	4.31900631780923e-26	1	343
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	37	33	1623	3377	110	0.00661	3559	0.00506	8.928	7.912	2.16889823540593e-19	1	343
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.06	0.466	60	10	3543	1457	902	0.0379	34192	0.034	8.879	5.768	3.37320542084344e-19	1	343
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	48	22	2786	2214	330	0.0159	11782	0.0134	8.781	3.908	8.10137742962839e-19	1	343
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	28	42	1213	3787	67	0.00604	2171	0.00463	8.483	5.887	1.09730330190362e-17	1	343
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.53	12	58	257	4743	12	0.00144	296	0.000841	8.421	8.251	1.86642134939584e-17	1	343
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	54	16	3367	1633	610	0.033	23079	0.0295	8.404	2.983	2.15761347139116e-17	1	343
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	23	47	747	4253	41	0.00271	1173	0.00183	8.341	8.76	3.68324479152774e-17	1	343
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	9	61	203	4797	10	0.000841	215	0.000428	8.106	6.063	2.61567224621858e-16	1	343
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	61	9	3537	1463	1057	0.0381	40514	0.0345	8.002	6.809	6.12071928845347e-16	1	343
